RINCIAN ANGGARAN MAS DAN MBAK DUTA WISATA KAB. DEMAK TAHUN 2025,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
I.,PEMASUKAN,,,,,,,,,
,No.,Sumber Pemasukan,Jumlah (Rp),Keterangan,,,,,,
,1.,Sisa Final 2024," Rp3,559,324.00 ",Uang Voting,,,,,,
,2.,Uang Voting," Rp31,631,400.00 ",Uang Voting,,,,,,
,,TOTAL PEMASUKAN," Rp35,190,724.00 ",Pemasukan Kotor,,,,,,
,3.,Potongan Jasa,"-Rp5,350,000.00 ",Jasa Website,,,,,,
,,,"-Rp2,273,400.00 ",Potongan Midtrans,,,,,,
,,BERSIH," Rp27,567,324.00 ",,,,,,,
,,,,,,,,,,
II. ,PENGELUARAN,,,,,,,,,
,No.,Jenis Pengeluaran,Jumlah (Rp),Keterangan,Tanggal & Tempat,Bukti,,,,
,1.,Honorarium & Jasa,,,,,,,,
,a.,Kostum Perlengkapan 3 Besar," Rp1,500,000.00 ",Honorarium,,Picture,,,,
,b.,Koreo," Rp1,000,000.00 ",Jasa Pelatih,,,,,,
,c.,Mas Nurkholis," Rp302,500.00 ",Honorarium,,Picture,,,,
,2.,Perlengkapan & Atribut,,,,,,,,
,a.,Ideas (Plakat)," Rp1,502,000.00 ",Atribut,,Picture,,,,
,b.,Hadiah Atribut," Rp2,000,000.00 ",Atribut,,Picture,,,,
,c.,Selempang," Rp900,000.00 ",Atribut,,Picture,,,,
,d.,Crown 3 Besar 2025," Rp1,310,000.00 ",Atribut,,Picture,Picture,Picture,,
,e.,Crown Atribut Delegasi," Rp181,350.00 ",Atribut,,Picture,,,,
,f.,Atribut Mas," Rp94,099.00 ",Atribut,,Picture,,,,
,g.,Crown Mini 10 Besar," Rp145,742.00 ",Atribut,,Picture,,,,
,h.,Tongkat Bledeg," Rp200,000.00 ",Atribut,,Picture,,,,
,3.,"MUA, Kostum & Photoshoot",,,,,,,,
,a.,Hd Studio," Rp602,500.00 ",Photoshoot,,Picture,,,,
,b.,Kostum 1," Rp752,500.00 ",Kostum,,Picture,,,,
,c.,Nombok Baju," Rp500,000.00 ",Kostum,,,,,,
,d.,Make up Diva Store," Rp350,000.00 ",MUA,,,,,,
,e.,Make up," Rp350,000.00 ",MUA,,Picture,,,,
,f.,Make up Cowok," Rp100,000.00 ",MUA,,,,,,
,4.,Operasional & Logistik,,,,,,,,
,a.,Desain Feed," Rp2,000,000.00 ",Jasa/Promosi,,Picture,,,,
,b.,Volunteer," Rp600,000.00 ",SDM,,,,,,
,c.,Mas Mbak Kendal," Rp520,000.00 ",Transport/Akomodasi,,Picture,,,,
,d.,URR Travel," Rp500,000.00 ",Transport/Akomodasi,,,,,,
,e.,Hotel," Rp375,000.00 ",Akomodasi,,Picture,,,,
,f.,Demak Expo," Rp200,000.00 ",Operasional,,,,,,
,g.,Sound System," Rp270,000.00 ",Beli Alat,,,,,,
,5.,Konsumsi,,,,,,,,
,a.,Konumsi Anak," Rp300,000.00 ",,,,,,,
,b.,Makan Kegiatan," Rp200,000.00 ",,,,,,,
,c.,Konsum (Tambahan)," Rp300,000.00 ",,,,,,,
,,TOTAL PENGELUARAN (1 s/d 5)," Rp17,055,691.00 ",,,,,,,
,,,,,,,,,,
III.,REKAPITULASI,,,,,,,,,
,Keterangan,,Jumlah (Rp),,,,,,,
,TOTAL PEMASUKAN,," Rp27,567,324.00 ",,,,,,,
,TOTAL PENGELUARAN,," Rp17,055,691.00 ",,,,,,,
,SALDO AKHIR,," Rp10,511,633.00 ",,,,,,,
,,,,,,,,,,
